nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,outcome_method,outcome
NCT01128894,NCT01128894,f3,2.035e-01,1.996e-01,9.241e-01,5.174e+01,7.970e-39,4,-1.090e+03,2.191e+03,2.219e+03,6.917e+02,810,815,locf,hba1c
NCT01733758,NCT01733758,f3,5.762e-01,5.692e-01,5.721e-01,8.176e+01,9.690e-85,8,-4.171e+02,8.543e+02,8.962e+02,1.575e+02,481,490,locf,hba1c
NCT02229227,NCT02229227,f3,1.075e-01,1.031e-01,7.804e-01,2.429e+01,5.272e-19,4,-9.483e+02,1.909e+03,1.937e+03,4.914e+02,807,812,locf,hba1c
NCT02465515,NCT02465515,f3,4.151e-01,4.148e-01,1.173e+00,1.555e+03,0.000e+00,4,-1.384e+04,2.769e+04,2.774e+04,1.206e+04,8765,8770,locf,hba1c
NCT00838903,NCT00838903,f4,1.778e-01,1.679e-01,1.162e+00,1.791e+01,2.712e-35,12,-1.573e+03,3.174e+03,3.243e+03,1.341e+03,994,1007,locf,hba1c
NCT00838916,NCT00838916,f4,1.479e-01,1.410e-01,1.001e+00,2.135e+01,3.437e-23,6,-1.054e+03,2.125e+03,2.162e+03,7.396e+02,738,745,locf,hba1c
NCT00839527,NCT00839527,f4,2.721e-01,2.620e-01,9.720e-01,2.704e+01,7.521e-40,9,-9.141e+02,1.850e+03,1.900e+03,6.151e+02,651,661,locf,hba1c
NCT00849017,NCT00849017,f4,1.834e-01,1.577e-01,9.838e-01,7.160e+00,2.254e-09,9,-4.115e+02,8.450e+02,8.856e+02,2.778e+02,287,297,locf,hba1c
NCT00849056,NCT00849056,f4,2.355e-01,2.198e-01,8.746e-01,1.509e+01,4.633e-15,6,-3.832e+02,7.824e+02,8.121e+02,2.249e+02,294,301,locf,hba1c
NCT00976391,NCT00976391,f4,2.209e-01,2.126e-01,9.391e-01,2.638e+01,1.100e-27,6,-7.627e+02,1.541e+03,1.576e+03,4.921e+02,558,565,locf,hba1c
NCT01098539,NCT01098539,f4,2.489e-01,2.395e-01,9.849e-01,2.667e+01,1.806e-27,6,-6.843e+02,1.385e+03,1.418e+03,4.685e+02,483,490,locf,hba1c
NCT01128894,NCT01128894,f4,2.135e-01,2.077e-01,9.177e-01,3.638e+01,4.358e-39,6,-1.078e+03,2.171e+03,2.209e+03,6.770e+02,804,811,locf,hba1c
NCT01733758,NCT01733758,f4,5.889e-01,5.786e-01,5.659e-01,5.695e+01,4.110e-84,12,-4.097e+02,8.474e+02,9.061e+02,1.527e+02,477,490,locf,hba1c
NCT02229227,NCT02229227,f4,1.141e-01,1.075e-01,7.784e-01,1.728e+01,7.369e-19,6,-9.453e+02,1.907e+03,1.944e+03,4.878e+02,805,812,locf,hba1c
NCT02465515,NCT02465515,f4,4.224e-01,4.220e-01,1.166e+00,1.068e+03,0.000e+00,6,-1.378e+04,2.758e+04,2.764e+04,1.191e+04,8761,8768,locf,hba1c
NCT00838903,NCT00838903,f5,3.212e-01,3.186e-01,8.771e-01,1.229e+02,6.394e-86,4,-1.342e+03,2.696e+03,2.726e+03,7.993e+02,1039,1044,bocf,hba1c
NCT00838916,NCT00838916,f5,2.051e-01,2.031e-01,9.301e-01,9.988e+01,2.582e-39,2,-1.045e+03,2.097e+03,2.116e+03,6.696e+02,774,777,bocf,hba1c
NCT00839527,NCT00839527,f5,2.799e-01,2.767e-01,9.298e-01,8.796e+01,4.332e-48,3,-9.174e+02,1.845e+03,1.867e+03,5.870e+02,679,683,bocf,hba1c
NCT00849017,NCT00849017,f5,2.071e-01,1.993e-01,9.726e-01,2.638e+01,3.450e-15,3,-4.251e+02,8.601e+02,8.788e+02,2.866e+02,303,307,bocf,hba1c
NCT00849056,NCT00849056,f5,2.378e-01,2.328e-01,8.621e-01,4.758e+01,1.036e-18,2,-3.898e+02,7.876e+02,8.026e+02,2.267e+02,305,308,bocf,hba1c
NCT00976391,NCT00976391,f5,2.948e-01,2.923e-01,9.193e-01,1.218e+02,6.187e-45,2,-7.807e+02,1.569e+03,1.587e+03,4.927e+02,583,586,bocf,hba1c
NCT01098539,NCT01098539,f5,4.660e-01,4.638e-01,8.119e-01,2.186e+02,5.729e-69,2,-6.086e+02,1.225e+03,1.242e+03,3.303e+02,501,504,bocf,hba1c
NCT01128894,NCT01128894,f5,2.448e-01,2.430e-01,8.979e-01,1.352e+02,1.385e-51,2,-1.096e+03,2.200e+03,2.219e+03,6.724e+02,834,837,bocf,hba1c
NCT01733758,NCT01733758,f5,5.460e-01,5.423e-01,6.104e-01,1.464e+02,4.205e-82,4,-4.527e+02,9.174e+02,9.426e+02,1.814e+02,487,492,bocf,hba1c
NCT02229227,NCT02229227,f5,1.138e-01,1.116e-01,8.231e-01,5.209e+01,5.232e-22,2,-9.951e+02,1.998e+03,2.017e+03,5.495e+02,811,814,bocf,hba1c
NCT02465515,NCT02465515,f5,5.058e-01,5.057e-01,1.099e+00,4.709e+03,0.000e+00,2,-1.393e+04,2.787e+04,2.790e+04,1.111e+04,9203,9206,bocf,hba1c
NCT00838903,NCT00838903,f6,3.270e-01,3.217e-01,8.785e-01,6.081e+01,6.090e-81,8,-1.298e+03,2.615e+03,2.665e+03,7.725e+02,1001,1010,bocf,hba1c
NCT00838916,NCT00838916,f6,2.056e-01,2.013e-01,9.310e-01,4.794e+01,7.213e-36,4,-1.003e+03,2.017e+03,2.045e+03,6.423e+02,741,746,bocf,hba1c
NCT00839527,NCT00839527,f6,2.885e-01,2.820e-01,9.194e-01,4.427e+01,1.737e-45,6,-8.802e+02,1.776e+03,1.812e+03,5.537e+02,655,662,bocf,hba1c
