nct_id,nct_id2,models,term,estimate,std.error,outcome_method,outcome
NCT02465515,NCT02465515,f2,arm_f_2_uaa11138,-0.565,0.187,locf,hba1c
NCT02465515,NCT02465515,f2,age10:arm_f_2_uaa11138,0.055,0.029,locf,hba1c
NCT00838903,NCT00838903,f3,(Intercept),3.622,0.408,locf,hba1c
NCT00838903,NCT00838903,f3,value_1,0.533,0.045,locf,hba1c
NCT00838903,NCT00838903,f3,sex,0.041,0.233,locf,hba1c
NCT00838903,NCT00838903,f3,arm_f_2_uaa10381,-0.62,0.188,locf,hba1c
NCT00838903,NCT00838903,f3,arm_f_2_uaa10382,-0.27,0.191,locf,hba1c
NCT00838903,NCT00838903,f3,arm_f_2_uaa10384,-0.334,0.189,locf,hba1c
NCT00838903,NCT00838903,f3,sex:arm_f_2_uaa10381,0.109,0.27,locf,hba1c
NCT00838903,NCT00838903,f3,sex:arm_f_2_uaa10382,-0.101,0.269,locf,hba1c
NCT00838903,NCT00838903,f3,sex:arm_f_2_uaa10384,0.079,0.27,locf,hba1c
NCT00838916,NCT00838916,f3,(Intercept),3.883,0.358,locf,hba1c
NCT00838916,NCT00838916,f3,value_1,0.436,0.041,locf,hba1c
NCT00838916,NCT00838916,f3,sex,-0.083,0.129,locf,hba1c
NCT00838916,NCT00838916,f3,arm_f_2_uaa10386,0.022,0.118,locf,hba1c
NCT00838916,NCT00838916,f3,sex:arm_f_2_uaa10386,0.104,0.158,locf,hba1c
NCT00839527,NCT00839527,f3,(Intercept),3.419,0.406,locf,hba1c
NCT00839527,NCT00839527,f3,value_1,0.578,0.045,locf,hba1c
NCT00839527,NCT00839527,f3,sex,0.013,0.189,locf,hba1c
NCT00839527,NCT00839527,f3,arm_f_2_uaa10389,-0.649,0.17,locf,hba1c
NCT00839527,NCT00839527,f3,arm_f_2_uaa10390,-0.683,0.171,locf,hba1c
NCT00839527,NCT00839527,f3,sex:arm_f_2_uaa10389,0.044,0.224,locf,hba1c
NCT00839527,NCT00839527,f3,sex:arm_f_2_uaa10390,-0.133,0.223,locf,hba1c
NCT00849017,NCT00849017,f3,(Intercept),3.771,0.535,locf,hba1c
NCT00849017,NCT00849017,f3,value_1,0.458,0.065,locf,hba1c
NCT00849017,NCT00849017,f3,sex,0.092,0.2,locf,hba1c
NCT00849017,NCT00849017,f3,arm_f_2_uaa10393,-0.437,0.206,locf,hba1c
NCT00849017,NCT00849017,f3,arm_f_2_uaa10394,-0.179,0.213,locf,hba1c
NCT00849017,NCT00849017,f3,sex:arm_f_2_uaa10393,0.367,0.281,locf,hba1c
NCT00849017,NCT00849017,f3,sex:arm_f_2_uaa10394,-0.204,0.282,locf,hba1c
NCT00849056,NCT00849056,f3,(Intercept),4.912,0.494,locf,hba1c
NCT00849056,NCT00849056,f3,value_1,0.357,0.059,locf,hba1c
NCT00849056,NCT00849056,f3,sex,-0.114,0.144,locf,hba1c
NCT00849056,NCT00849056,f3,arm_f_2_uaa10397,-0.637,0.159,locf,hba1c
NCT00849056,NCT00849056,f3,sex:arm_f_2_uaa10397,-0.05,0.206,locf,hba1c
NCT00976391,NCT00976391,f3,(Intercept),2.927,0.382,locf,hba1c
NCT00976391,NCT00976391,f3,value_1,0.551,0.044,locf,hba1c
NCT00976391,NCT00976391,f3,sex,0.184,0.111,locf,hba1c
NCT00976391,NCT00976391,f3,arm_f_2_uaa10467,-0.125,0.108,locf,hba1c
NCT00976391,NCT00976391,f3,sex:arm_f_2_uaa10467,-0.027,0.158,locf,hba1c
NCT01098539,NCT01098539,f3,(Intercept),3.403,0.469,locf,hba1c
NCT01098539,NCT01098539,f3,value_1,0.551,0.056,locf,hba1c
NCT01098539,NCT01098539,f3,sex,-0.343,0.132,locf,hba1c
NCT01098539,NCT01098539,f3,arm_f_2_uaa10566,-0.662,0.137,locf,hba1c
NCT01098539,NCT01098539,f3,sex:arm_f_2_uaa10566,0.55,0.186,locf,hba1c
NCT01128894,NCT01128894,f3,(Intercept),2.783,0.318,locf,hba1c
NCT01128894,NCT01128894,f3,value_1,0.515,0.038,locf,hba1c
NCT01128894,NCT01128894,f3,sex,0.357,0.091,locf,hba1c
NCT01128894,NCT01128894,f3,arm_f_2_uaa10601,0.352,0.092,locf,hba1c
NCT01128894,NCT01128894,f3,sex:arm_f_2_uaa10601,-0.318,0.13,locf,hba1c
NCT01733758,NCT01733758,f3,(Intercept),3.753,0.287,locf,hba1c
NCT01733758,NCT01733758,f3,value_1,0.536,0.033,locf,hba1c
NCT01733758,NCT01733758,f3,sex,0.208,0.139,locf,hba1c
NCT01733758,NCT01733758,f3,arm_f_2_uaa10899,-1.139,0.15,locf,hba1c
NCT01733758,NCT01733758,f3,arm_f_2_uaa10900,-1.184,0.149,locf,hba1c
NCT01733758,NCT01733758,f3,arm_f_2_uaa10901,-1.274,0.167,locf,hba1c
NCT01733758,NCT01733758,f3,sex:arm_f_2_uaa10899,-0.154,0.177,locf,hba1c
NCT01733758,NCT01733758,f3,sex:arm_f_2_uaa10900,-0.346,0.177,locf,hba1c
NCT01733758,NCT01733758,f3,sex:arm_f_2_uaa10901,-0.147,0.196,locf,hba1c
NCT02229227,NCT02229227,f3,(Intercept),3.278,0.35,locf,hba1c
NCT02229227,NCT02229227,f3,value_1,0.427,0.044,locf,hba1c
NCT02229227,NCT02229227,f3,sex,0.082,0.077,locf,hba1c
NCT02229227,NCT02229227,f3,arm_f_2_uaa11080,0.047,0.074,locf,hba1c
NCT02229227,NCT02229227,f3,sex:arm_f_2_uaa11080,0.035,0.11,locf,hba1c
NCT02465515,NCT02465515,f3,(Intercept),3.136,0.08,locf,hba1c
NCT02465515,NCT02465515,f3,value_1,0.628,0.008,locf,hba1c
NCT02465515,NCT02465515,f3,sex,-0.139,0.039,locf,hba1c
NCT02465515,NCT02465515,f3,arm_f_2_uaa11138,-0.286,0.046,locf,hba1c
NCT02465515,NCT02465515,f3,sex:arm_f_2_uaa11138,0.121,0.054,locf,hba1c
NCT00838903,NCT00838903,f4,(Intercept),5.2,0.79,locf,hba1c
NCT00838903,NCT00838903,f4,value_1,0.48,0.045,locf,hba1c
NCT00838903,NCT00838903,f4,age10,-0.209,0.117,locf,hba1c
NCT00838903,NCT00838903,f4,arm_f_2_uaa10381,-0.583,0.767,locf,hba1c
NCT00838903,NCT00838903,f4,arm_f_2_uaa10382,0.378,0.762,locf,hba1c
NCT00838903,NCT00838903,f4,arm_f_2_uaa10384,-0.271,0.767,locf,hba1c
NCT00838903,NCT00838903,f4,sex,0.082,0.232,locf,hba1c
NCT00838903,NCT00838903,f4,age10:arm_f_2_uaa10381,-0.009,0.135,locf,hba1c
NCT00838903,NCT00838903,f4,age10:arm_f_2_uaa10382,-0.129,0.135,locf,hba1c
NCT00838903,NCT00838903,f4,age10:arm_f_2_uaa10384,-0.014,0.135,locf,hba1c
NCT00838903,NCT00838903,f4,arm_f_2_uaa10381:sex,0.038,0.269,locf,hba1c
NCT00838903,NCT00838903,f4,arm_f_2_uaa10382:sex,-0.075,0.268,locf,hba1c
NCT00838903,NCT00838903,f4,arm_f_2_uaa10384:sex,0.03,0.268,locf,hba1c
NCT00838916,NCT00838916,f4,(Intercept),3.98,0.536,locf,hba1c
NCT00838916,NCT00838916,f4,value_1,0.419,0.042,locf,hba1c
NCT00838916,NCT00838916,f4,age10,0.007,0.066,locf,hba1c
NCT00838916,NCT00838916,f4,arm_f_2_uaa10386,1.069,0.465,locf,hba1c
NCT00838916,NCT00838916,f4,sex,-0.085,0.13,locf,hba1c
NCT00838916,NCT00838916,f4,age10:arm_f_2_uaa10386,-0.19,0.082,locf,hba1c
NCT00838916,NCT00838916,f4,arm_f_2_uaa10386:sex,0.139,0.158,locf,hba1c
NCT00839527,NCT00839527,f4,(Intercept),5.462,0.678,locf,hba1c
NCT00839527,NCT00839527,f4,value_1,0.548,0.045,locf,hba1c
NCT00839527,NCT00839527,f4,age10,-0.329,0.096,locf,hba1c
NCT00839527,NCT00839527,f4,arm_f_2_uaa10389,-1.297,0.644,locf,hba1c
NCT00839527,NCT00839527,f4,arm_f_2_uaa10390,-1.941,0.647,locf,hba1c
NCT00839527,NCT00839527,f4,sex,0.075,0.187,locf,hba1c
NCT00839527,NCT00839527,f4,age10:arm_f_2_uaa10389,0.118,0.114,locf,hba1c
NCT00839527,NCT00839527,f4,age10:arm_f_2_uaa10390,0.232,0.114,locf,hba1c
NCT00839527,NCT00839527,f4,arm_f_2_uaa10389:sex,-0.007,0.221,locf,hba1c
