nct_id,nct_id2,models,term,estimate,std.error,statistic,p.value
NCT01106677,NCT01106677,f5,value_1,0.659,0.061,10.874,2.250e-26
NCT01106677,NCT01106677,f5,arm_f_2_uaa10577,0.922,0.599,1.537,1.245e-01
NCT01106677,NCT01106677,f5,arm_f_2_uaa10578,1.166,0.588,1.983,4.758e-02
NCT01106677,NCT01106677,f5,arm_f_2_uaa10580,-0.055,0.6,-0.091,9.272e-01
NCT01106677,NCT01106677,f5,value_1:arm_f_2_uaa10577,-0.171,0.075,-2.288,2.230e-02
NCT01106677,NCT01106677,f5,value_1:arm_f_2_uaa10578,-0.218,0.073,-2.966,3.073e-03
NCT01106677,NCT01106677,f5,value_1:arm_f_2_uaa10580,-0.056,0.075,-0.747,4.551e-01
NCT01106690,NCT01106690,f5,(Intercept),2.946,0.519,5.68,2.948e-08
NCT01106690,NCT01106690,f5,value_1,0.574,0.064,8.919,3.255e-17
NCT01106690,NCT01106690,f5,arm_f_2_uaa10582,0.002,0.777,0.002,9.981e-01
NCT01106690,NCT01106690,f5,arm_f_2_uaa10583,1.185,0.764,1.55,1.220e-01
NCT01106690,NCT01106690,f5,value_1:arm_f_2_uaa10582,-0.079,0.097,-0.809,4.189e-01
NCT01106690,NCT01106690,f5,value_1:arm_f_2_uaa10583,-0.209,0.095,-2.204,2.821e-02
NCT01137812,NCT01137812,f5,(Intercept),2.828,0.411,6.882,1.273e-11
NCT01137812,NCT01137812,f5,value_1,0.573,0.05,11.403,7.796e-28
NCT01137812,NCT01137812,f5,arm_f_2_uaa10614,0.772,0.579,1.334,1.826e-01
NCT01137812,NCT01137812,f5,value_1:arm_f_2_uaa10614,-0.141,0.071,-1.986,4.741e-02
NCT01381900,NCT01381900,f5,(Intercept),1.305,0.446,2.924,3.577e-03
NCT01381900,NCT01381900,f5,value_1,0.787,0.056,14.081,1.577e-39
NCT01381900,NCT01381900,f5,arm_f_2_uaa10741,1.867,0.643,2.904,3.811e-03
NCT01381900,NCT01381900,f5,arm_f_2_uaa10742,1.728,0.642,2.691,7.303e-03
NCT01381900,NCT01381900,f5,value_1:arm_f_2_uaa10741,-0.295,0.08,-3.675,2.576e-04
NCT01381900,NCT01381900,f5,value_1:arm_f_2_uaa10742,-0.291,0.08,-3.62,3.176e-04
NCT01809327,NCT01809327,f5,(Intercept),3.419,0.503,6.793,1.767e-11
NCT01809327,NCT01809327,f5,value_1,0.473,0.057,8.344,2.047e-16
NCT01809327,NCT01809327,f5,arm_f_2_uaa10933,-0.422,0.721,-0.585,5.584e-01
NCT01809327,NCT01809327,f5,arm_f_2_uaa10934,0.087,0.72,0.121,9.039e-01
NCT01809327,NCT01809327,f5,arm_f_2_uaa10935,1.376,0.754,1.825,6.823e-02
NCT01809327,NCT01809327,f5,arm_f_2_uaa10936,0.591,0.718,0.823,4.107e-01
NCT01809327,NCT01809327,f5,value_1:arm_f_2_uaa10933,0.034,0.081,0.421,6.741e-01
NCT01809327,NCT01809327,f5,value_1:arm_f_2_uaa10934,-0.025,0.081,-0.31,7.563e-01
NCT01809327,NCT01809327,f5,value_1:arm_f_2_uaa10935,-0.219,0.085,-2.582,9.946e-03
NCT01809327,NCT01809327,f5,value_1:arm_f_2_uaa10936,-0.127,0.08,-1.581,1.142e-01
NCT01989754,NCT01989754,f5,(Intercept),3.469,0.191,18.145,1.485e-71
NCT01989754,NCT01989754,f5,value_1,0.565,0.023,24.664,1.246e-127
NCT01989754,NCT01989754,f5,arm_f_2_uaa10994,0.09,0.265,0.339,7.349e-01
NCT01989754,NCT01989754,f5,value_1:arm_f_2_uaa10994,-0.07,0.032,-2.217,2.666e-02
NCT02025907,NCT02025907,f5,(Intercept),1.917,1.036,1.85,6.578e-02
NCT02025907,NCT02025907,f5,value_1,0.77,0.123,6.249,2.463e-09
NCT02025907,NCT02025907,f5,arm_f_2_uaa11013,1.973,1.438,1.372,1.716e-01
NCT02025907,NCT02025907,f5,value_1:arm_f_2_uaa11013,-0.33,0.169,-1.945,5.314e-02
NCT02065791,NCT02065791,f5,(Intercept),3.771,0.194,19.458,9.693e-81
NCT02065791,NCT02065791,f5,value_1,0.512,0.023,22.06,5.082e-102
NCT02065791,NCT02065791,f5,arm_f_2_uaa11038,0.076,0.276,0.274,7.844e-01
NCT02065791,NCT02065791,f5,value_1:arm_f_2_uaa11038,-0.025,0.033,-0.759,4.477e-01
NCT00968812,NCT00968812,f6,(Intercept),3.999,0.406,9.851,3.488e-22
NCT00968812,NCT00968812,f6,value_1,0.472,0.042,11.3,2.118e-28
NCT00968812,NCT00968812,f6,age10,-0.137,0.036,-3.767,1.723e-04
NCT00968812,NCT00968812,f6,arm_f_2_uaa10456,-0.367,0.565,-0.65,5.160e-01
NCT00968812,NCT00968812,f6,arm_f_2_uaa10457,-0.652,0.564,-1.156,2.479e-01
NCT00968812,NCT00968812,f6,age10:arm_f_2_uaa10456,0.184,0.05,3.655,2.671e-04
NCT00968812,NCT00968812,f6,age10:arm_f_2_uaa10457,0.13,0.051,2.545,1.105e-02
NCT00968812,NCT00968812,f6,value_1:arm_f_2_uaa10456,-0.077,0.059,-1.301,1.935e-01
NCT00968812,NCT00968812,f6,value_1:arm_f_2_uaa10457,-0.016,0.06,-0.266,7.905e-01
